feature,mean_abs_shap
ssc_p,0.2237104730616987
mba_p,0.08693360205211408
hsc_p,0.07565675155808414
degree_p,0.06718172629399902
workex_Yes,0.019305353084704786
degree_t_Comm&Mgmt,0.01915348693848453
workex_No,0.017246295409857858
gender_M,0.01618412072435299
degree_t_Sci&Tech,0.015004758223433392
gender_F,0.013883606836943467
ssc_b_Others,0.010156217223413673
ssc_b_Central,0.010017325880350064
specialisation_Mkt&Fin,0.008421928236326487
specialisation_Mkt&HR,0.005316077882805594
etest_p,0.004539609347989913
hsc_b_Others,0.00400962102152267
hsc_b_Central,0.003529523130228019
hsc_s_Arts,0.0025578767828254995
hsc_s_Commerce,0.0021439313034587824
hsc_s_Science,0.0020279077961444835
degree_t_Others,0.0008487845638901861
